CB Captura,EAN MUNI,Producto,Factor de ConversiÛn
7506195100233,7506195100233,Crema Dental Crest Complete 4En1 50 ml,1
7506306215689,7506306215689,Gel EGO Tarro Control CaÌda 200 ml,1
7501027293473,7501027293473,Desodorante Obao Roll On Hombre Audaz 65 g,1
40056808803019,40056808803019,Crema De Tocador Nivea Normal 250 ml,1
7509546073781,7509546073781,Desodorante Stefano Aerosol Midnight 113 g,1
7501035900264,7501035900264,Desodorante Stefano Roll On Black 50 ml,1
7506192501033,7506192501033,Shampoo Savile Rizos Radiantes/Linaza 750 ml,1
7509546073767,7509546073767,Desodorante Stefano Aerosol Black 113 g,1
7506192504065,7506192504065,Crema Para Peinar Savile Liso Keratina 300 ml,1
7506192504461,7506192504461,Crema Para Peinar Savile Rizo Aceite Argan 300 ml,1
7509552909678,7509552909678,Crema Para Peinar Fructis Stop CaÌda 300 ml,1
7506306213517,7506306213517,Crema Para Peinar Savile Antiesponjado Almendras 300 ml,1
7501086454136,7501086454136,Cepillo Dental Pro Plus Anticaries 2 Pz,1
7501001170288,7501001170288,Shampoo Pantene 2En1 Cl·sico 200 ml,1
7506192506151,7506192506151,Crema Para Peinar Savile Liso Col·geno 300 ml,1
7506306210523,7506306210523,Shampoo Sedal Co-Creations Argan 340 ml,1
7506192506168,7506192506168,Crema Para Peinar Savile Rizo Col·geno 300 ml,1
7506306215405,7506306215405,Crema Para Peinar Savile Rizo Leche De Coco 300 ml,1
7506192505543,7506192505543,Crema Para Peinar Savile Rizo Aceite Biotina 300 ml,1
7506192505529,7506192505529,Crema Para Peinar Savile Antiesponjado Biotina 300 ml,1
3014260014445,3014260014445,Cepillo Dental ORAL-B Complete Limpieza Superior #40 2 unid,1
7506306204829,7506306204829,Shampoo Sedal HidrataciÛn Ligera 340 ml,1
7506306204966,7506306204966,Shampoo Sedal Brillo/Suavidad 340 ml,1
7506192506144,7506192506144,Crema Para Peinar Savile Antiesponjado Col·geno 300 ml,1
7509546072753,7509546072753,Shampoo Caprice Control Quiebre 750 ml,1
7501056360412,7501056360412,Talco Rexona Efficient 100 g,1
97339000054,97339000054,Salsa Valentina PequeÒa 370 ml,1
7501055361540,7501055361540,Refresco Coca Cola Lata 355 ml,1
41789001956,41789001956,Sopa Maruchan CamarÛn 64 g,1
7501006559002,7501006559002,Palomitas ACT II Naturales 80 g,1
7501006559019,7501006559019,Palomitas ACT II Mantequilla 80 g,1
10900000406,10900000406,Aluminio Reynolds Aluminio 24/7.6 X 30Cm 1 unid,1
7501017004294,7501017004294,Frijol La CosteÒa Negro 560 g,1
7501017005000,7501017005000,JalapeÒos Enteros La CosteÒa Enlatados Medianos En Vinagre 220 g,1
7501017005611,7501017005611,PurÈ Del Fuerte De Tomate PequeÒo 210 g,1
7501003184078,7501003184078,Miel Carlota De Abeja PequeÒa 300 g,1
7501023606642,7501023606642,At˙n Nair En Agua 130 g,1
7501003127600,7501003127600,Salsa Herdez Verde Botella 240 g,1
7501001604318,7501001604318,Salsa Crosse & Blackwell Inglesa 145 g,1
97339000061,97339000061,Salsa Valentina Negra PequeÒa 370 ml,1
7501003123213,7501003123213,ChampiÒÛn Herdez Enlatados 186 g,1
7501018310103,7501018310103,Pasta La Moderna Spaghetti Corto 200 g,1
7501003390400,7501003390400,Aceitunas B˙falo Enfrascadas 240 g,1
7501001604110,7501001604110,Salsa MAGGI Jugo 200 ml,1
7501005181365,7501005181365,Sazonador Knorr 8 Cubos 1 unid,1
7501005105873,7501005105873,Arroz Knorr A La Poblana 155 g,1
7501003336125,7501003336125,Mermelada McCormick De Fresa En Frasco 270 g,1
7501059284388,7501059284388,Chocolate Morelia En Polvo 700 g,1
758104001712,758104001712,Agua Bonafont PequeÒa 600 ml,1
633148100013,633148100013,Chile TajÌn En Polvo 142 g,1
7502223772250,7502223772250,Aceite Capullo Puro de Canola 840 ml,1
80051671,80051671,Crema Nutella De Avellana 200 g,1
7501017004362,7501017004362,Frijol La CosteÒa Bayo 560 g,1
7501023606635,7501023606635,At˙n Nair En Aceite 120 g,1
75005443,75005443,Aceite 1-2-3 Vegetal Chica 500 ml,1
7501071301452,7501071301452,Arroz Verde Valle S˙per Extra 1000 g,1
7501003340139,7501003340139,Mayonesa McCormick  390 g,1
7501073411173,7501073411173,Chocolate Abuelita En Barra 540 g,1
7501023348047,7501023348047,Salsa San Marcos Chipotle 215 g,1
7501058620101,7501058620101,CafÈ NescafÈ Frasco 120 g,1
7501000128167,7501000128167,Galletas Marinela PrÌncipe 106 g,1
7501079702848,7501079702848,PurÈ Del Fuerte De Tomate Condimentado Grande 1 kg,1
7501030491644,7501030491644,Galletas Marinela Canelitas 90 g,1
7501059235038,7501059235038,Sustituto De Crema Coffe Mate Original Bote 311 g,1
7501030475569,7501030475569,Tortillinas TÌa Rosa Harina 24 unid,1
7501000122332,7501000122332,Pan Bimbo Blanco 640 g,1
34587020021,34587020021,Sal La Fina Refinada Bote 1000 g,1
7501077400050,7501077400050,Harina MASECA De Maiz Tradicional 1000 g,1
7501072214584,7501072214584,Alimento Para Gato Purina Gatina Pollo - Grande - 20 kg,1
7502002871167,7502002871167,Alimento para Perro Poder Canino  25 kg,1
7503026084137,7503026084137,Alimento Para Gato Nupec Indoor Adulto 1.5 kg,1
7503026884113,7503026884113,Alimento Para Gato Nupec Kitten - Chico - 1.5 kg,1
7501072207142,7501072207142,Alimento Para Gato Purina Cat Chow Pescado 23 kg,1
7501072205056,7501072205056,Alimento Para Gato Purina Cat Chow Deli Mix 15 kg,1
7506174514440,7506174514440,Alimento Para Perro Pal Perro Original -Mediano- 20 kg,1
7502002873505,7502002873505,Alimento Para Perro Ganador Raza PequeÒa Original 2 kg,1
7501072206725,7501072206725,Alimento Para Perro Purina Dog Chow Puppy Raza Grande - Chico - 4 kg,1
